date,Foundation
2020-12-27,68
2021-01-03,65
2021-01-10,64
2021-01-17,66
2021-01-24,71
2021-01-31,76
2021-02-07,79
2021-02-14,80
2021-02-21,74
2021-02-28,77
2021-03-07,73
2021-03-14,77
2021-03-21,89
2021-03-28,80
2021-04-04,79
2021-04-11,73
2021-04-18,73
2021-04-25,68
2021-05-02,66
2021-05-09,61
2021-05-16,67
2021-05-23,74
2021-05-30,64
2021-06-06,62
2021-06-13,52
2021-06-20,55
2021-06-27,61
2021-07-04,62
2021-07-11,54
2021-07-18,58
2021-07-25,60
2021-08-01,57
2021-08-08,60
2021-08-15,57
2021-08-22,63
2021-08-29,62
2021-09-05,63
2021-09-12,64
2021-09-19,94
2021-09-26,91
2021-10-03,83
2021-10-10,80
2021-10-17,78
2021-10-24,79
2021-10-31,77
2021-11-07,80
2021-11-14,76
2021-11-21,80
2021-11-28,67
2021-12-05,65
2021-12-12,65
2021-12-19,65
2021-12-26,78
2022-01-02,89
2022-01-09,90
2022-01-16,80
2022-01-23,99
2022-01-30,91
2022-02-06,87
2022-02-13,87
2022-02-20,87
2022-02-27,85
2022-03-06,85
2022-03-13,82
2022-03-20,85
2022-03-27,86
2022-04-03,84
2022-04-10,84
2022-04-17,85
2022-04-24,85
2022-05-01,80
2022-05-08,83
2022-05-15,78
2022-05-22,74
2022-05-29,80
2022-06-05,74
2022-06-12,68
2022-06-19,68
2022-06-26,72
2022-07-03,69
2022-07-10,66
2022-07-17,63
2022-07-24,66
2022-07-31,66
2022-08-07,66
2022-08-14,63
2022-08-21,66
2022-08-28,68
2022-09-04,71
2022-09-11,72
2022-09-18,73
2022-09-25,71
2022-10-02,74
2022-10-09,74
2022-10-16,75
2022-10-23,76
2022-10-30,76
2022-11-06,82
2022-11-13,78
2022-11-20,82
2022-11-27,74
2022-12-04,74
2022-12-11,78
2022-12-18,77
2022-12-25,82
2023-01-01,87
2023-01-08,90
2023-01-15,93
2023-01-22,87
2023-01-29,95
2023-02-05,97
2023-02-12,87
2023-02-19,90
2023-02-26,98
2023-03-05,92
2023-03-12,96
2023-03-19,92
2023-03-26,90
2023-04-02,85
2023-04-09,93
2023-04-16,86
2023-04-23,85
2023-04-30,83
2023-05-07,78
2023-05-14,98
2023-05-21,91
2023-05-28,82
2023-06-04,76
2023-06-11,77
2023-06-18,68
2023-06-25,75
2023-07-02,73
2023-07-09,83
2023-07-16,84
2023-07-23,80
2023-07-30,82
2023-08-06,85
2023-08-13,79
2023-08-20,83
2023-08-27,83
2023-09-03,92
2023-09-10,89
2023-09-17,84
2023-09-24,87
2023-10-01,82
2023-10-08,82
2023-10-15,79
2023-10-22,83
2023-10-29,85
2023-11-05,88
2023-11-12,84
2023-11-19,100
2023-11-26,81
2023-12-03,81
2023-12-10,86
2023-12-17,85
2023-12-24,83
2023-12-31,86
