date,bb crème
2020-12-27,31
2021-01-03,37
2021-01-10,55
2021-01-17,55
2021-01-24,45
2021-01-31,41
2021-02-07,39
2021-02-14,47
2021-02-21,60
2021-02-28,52
2021-03-07,55
2021-03-14,53
2021-03-21,47
2021-03-28,37
2021-04-04,59
2021-04-11,55
2021-04-18,46
2021-04-25,45
2021-05-02,44
2021-05-09,46
2021-05-16,35
2021-05-23,32
2021-05-30,42
2021-06-06,38
2021-06-13,21
2021-06-20,30
2021-06-27,32
2021-07-04,30
2021-07-11,27
2021-07-18,30
2021-07-25,29
2021-08-01,32
2021-08-08,23
2021-08-15,23
2021-08-22,27
2021-08-29,22
2021-09-05,28
2021-09-12,24
2021-09-19,20
2021-09-26,41
2021-10-03,45
2021-10-10,41
2021-10-17,37
2021-10-24,42
2021-10-31,40
2021-11-07,49
2021-11-14,32
2021-11-21,35
2021-11-28,26
2021-12-05,40
2021-12-12,38
2021-12-19,37
2021-12-26,30
2022-01-02,47
2022-01-09,49
2022-01-16,57
2022-01-23,55
2022-01-30,38
2022-02-06,58
2022-02-13,51
2022-02-20,56
2022-02-27,83
2022-03-06,74
2022-03-13,61
2022-03-20,78
2022-03-27,65
2022-04-03,61
2022-04-10,55
2022-04-17,74
2022-04-24,59
2022-05-01,59
2022-05-08,47
2022-05-15,52
2022-05-22,43
2022-05-29,31
2022-06-05,46
2022-06-12,37
2022-06-19,43
2022-06-26,51
2022-07-03,36
2022-07-10,28
2022-07-17,33
2022-07-24,44
2022-07-31,38
2022-08-07,23
2022-08-14,25
2022-08-21,32
2022-08-28,35
2022-09-04,31
2022-09-11,44
2022-09-18,49
2022-09-25,57
2022-10-02,42
2022-10-09,46
2022-10-16,40
2022-10-23,54
2022-10-30,55
2022-11-06,66
2022-11-13,58
2022-11-20,43
2022-11-27,50
2022-12-04,48
2022-12-11,46
2022-12-18,51
2022-12-25,51
2023-01-01,54
2023-01-08,64
2023-01-15,44
2023-01-22,65
2023-01-29,64
2023-02-05,73
2023-02-12,77
2023-02-19,95
2023-02-26,100
2023-03-05,79
2023-03-12,77
2023-03-19,87
2023-03-26,71
2023-04-02,67
2023-04-09,63
2023-04-16,68
2023-04-23,72
2023-04-30,56
2023-05-07,75
2023-05-14,62
2023-05-21,58
2023-05-28,58
2023-06-04,64
2023-06-11,49
2023-06-18,43
2023-06-25,42
2023-07-02,49
2023-07-09,42
2023-07-16,38
2023-07-23,41
2023-07-30,34
2023-08-06,35
2023-08-13,32
2023-08-20,39
2023-08-27,32
2023-09-03,34
2023-09-10,40
2023-09-17,46
2023-09-24,34
2023-10-01,41
2023-10-08,36
2023-10-15,45
2023-10-22,40
2023-10-29,70
2023-11-05,46
2023-11-12,50
2023-11-19,39
2023-11-26,56
2023-12-03,47
2023-12-10,64
2023-12-17,47
2023-12-24,64
2023-12-31,57
