date,waterproof mascara
2020-12-27,61
2021-01-03,69
2021-01-10,71
2021-01-17,66
2021-01-24,57
2021-01-31,66
2021-02-07,66
2021-02-14,62
2021-02-21,61
2021-02-28,63
2021-03-07,62
2021-03-14,61
2021-03-21,56
2021-03-28,65
2021-04-04,65
2021-04-11,63
2021-04-18,59
2021-04-25,58
2021-05-02,61
2021-05-09,62
2021-05-16,70
2021-05-23,77
2021-05-30,80
2021-06-06,79
2021-06-13,87
2021-06-20,80
2021-06-27,75
2021-07-04,80
2021-07-11,73
2021-07-18,73
2021-07-25,75
2021-08-01,68
2021-08-08,68
2021-08-15,69
2021-08-22,66
2021-08-29,58
2021-09-05,61
2021-09-12,59
2021-09-19,56
2021-09-26,55
2021-10-03,59
2021-10-10,63
2021-10-17,62
2021-10-24,63
2021-10-31,59
2021-11-07,58
2021-11-14,61
2021-11-21,68
2021-11-28,66
2021-12-05,54
2021-12-12,55
2021-12-19,62
2021-12-26,61
2022-01-02,59
2022-01-09,57
2022-01-16,59
2022-01-23,58
2022-01-30,65
2022-02-06,62
2022-02-13,63
2022-02-20,67
2022-02-27,67
2022-03-06,73
2022-03-13,70
2022-03-20,66
2022-03-27,71
2022-04-03,67
2022-04-10,65
2022-04-17,64
2022-04-24,69
2022-05-01,66
2022-05-08,71
2022-05-15,72
2022-05-22,74
2022-05-29,94
2022-06-05,79
2022-06-12,85
2022-06-19,85
2022-06-26,90
2022-07-03,92
2022-07-10,86
2022-07-17,90
2022-07-24,90
2022-07-31,86
2022-08-07,77
2022-08-14,80
2022-08-21,73
2022-08-28,74
2022-09-04,72
2022-09-11,71
2022-09-18,68
2022-09-25,61
2022-10-02,65
2022-10-09,64
2022-10-16,58
2022-10-23,58
2022-10-30,53
2022-11-06,57
2022-11-13,50
2022-11-20,67
2022-11-27,64
2022-12-04,62
2022-12-11,69
2022-12-18,68
2022-12-25,79
2023-01-01,67
2023-01-08,67
2023-01-15,69
2023-01-22,72
2023-01-29,79
2023-02-05,73
2023-02-12,74
2023-02-19,72
2023-02-26,72
2023-03-05,73
2023-03-12,73
2023-03-19,75
2023-03-26,73
2023-04-02,79
2023-04-09,76
2023-04-16,74
2023-04-23,77
2023-04-30,78
2023-05-07,74
2023-05-14,93
2023-05-21,96
2023-05-28,100
2023-06-04,92
2023-06-11,90
2023-06-18,83
2023-06-25,91
2023-07-02,100
2023-07-09,93
2023-07-16,82
2023-07-23,83
2023-07-30,86
2023-08-06,80
2023-08-13,76
2023-08-20,79
2023-08-27,64
2023-09-03,70
2023-09-10,63
2023-09-17,67
2023-09-24,61
2023-10-01,62
2023-10-08,65
2023-10-15,58
2023-10-22,62
2023-10-29,59
2023-11-05,62
2023-11-12,59
2023-11-19,72
2023-11-26,66
2023-12-03,69
2023-12-10,71
2023-12-17,73
2023-12-24,77
2023-12-31,70
