date,vitamin C serum
2020-12-27,71
2021-01-03,70
2021-01-10,71
2021-01-17,74
2021-01-24,76
2021-01-31,77
2021-02-07,76
2021-02-14,77
2021-02-21,84
2021-02-28,75
2021-03-07,75
2021-03-14,71
2021-03-21,75
2021-03-28,74
2021-04-04,79
2021-04-11,76
2021-04-18,71
2021-04-25,65
2021-05-02,66
2021-05-09,60
2021-05-16,56
2021-05-23,59
2021-05-30,58
2021-06-06,55
2021-06-13,57
2021-06-20,58
2021-06-27,53
2021-07-04,51
2021-07-11,53
2021-07-18,53
2021-07-25,52
2021-08-01,51
2021-08-08,49
2021-08-15,53
2021-08-22,54
2021-08-29,48
2021-09-05,50
2021-09-12,48
2021-09-19,47
2021-09-26,48
2021-10-03,49
2021-10-10,50
2021-10-17,53
2021-10-24,54
2021-10-31,51
2021-11-07,54
2021-11-14,53
2021-11-21,58
2021-11-28,64
2021-12-05,52
2021-12-12,49
2021-12-19,53
2021-12-26,60
2022-01-02,73
2022-01-09,65
2022-01-16,66
2022-01-23,68
2022-01-30,65
2022-02-06,66
2022-02-13,70
2022-02-20,68
2022-02-27,70
2022-03-06,72
2022-03-13,72
2022-03-20,68
2022-03-27,69
2022-04-03,73
2022-04-10,65
2022-04-17,65
2022-04-24,63
2022-05-01,58
2022-05-08,61
2022-05-15,59
2022-05-22,58
2022-05-29,60
2022-06-05,60
2022-06-12,60
2022-06-19,60
2022-06-26,57
2022-07-03,60
2022-07-10,66
2022-07-17,66
2022-07-24,68
2022-07-31,69
2022-08-07,71
2022-08-14,67
2022-08-21,72
2022-08-28,62
2022-09-04,63
2022-09-11,59
2022-09-18,58
2022-09-25,57
2022-10-02,58
2022-10-09,65
2022-10-16,61
2022-10-23,59
2022-10-30,58
2022-11-06,59
2022-11-13,59
2022-11-20,74
2022-11-27,62
2022-12-04,59
2022-12-11,60
2022-12-18,67
2022-12-25,86
2023-01-01,80
2023-01-08,76
2023-01-15,84
2023-01-22,80
2023-01-29,78
2023-02-05,79
2023-02-12,78
2023-02-19,86
2023-02-26,86
2023-03-05,79
2023-03-12,89
2023-03-19,83
2023-03-26,80
2023-04-02,82
2023-04-09,79
2023-04-16,84
2023-04-23,82
2023-04-30,77
2023-05-07,75
2023-05-14,77
2023-05-21,80
2023-05-28,81
2023-06-04,84
2023-06-11,79
2023-06-18,84
2023-06-25,81
2023-07-02,87
2023-07-09,97
2023-07-16,84
2023-07-23,82
2023-07-30,82
2023-08-06,85
2023-08-13,85
2023-08-20,81
2023-08-27,75
2023-09-03,77
2023-09-10,70
2023-09-17,71
2023-09-24,71
2023-10-01,66
2023-10-08,74
2023-10-15,72
2023-10-22,68
2023-10-29,70
2023-11-05,75
2023-11-12,77
2023-11-19,87
2023-11-26,80
2023-12-03,72
2023-12-10,77
2023-12-17,77
2023-12-24,96
2023-12-31,100
