date,matte lipstick
2020-12-27,10
2021-01-03,10
2021-01-10,9
2021-01-17,9
2021-01-24,10
2021-01-31,10
2021-02-07,10
2021-02-14,8
2021-02-21,9
2021-02-28,9
2021-03-07,10
2021-03-14,9
2021-03-21,9
2021-03-28,9
2021-04-04,10
2021-04-11,10
2021-04-18,10
2021-04-25,9
2021-05-02,10
2021-05-09,23
2021-05-16,26
2021-05-23,52
2021-05-30,70
2021-06-06,90
2021-06-13,81
2021-06-20,85
2021-06-27,88
2021-07-04,84
2021-07-11,88
2021-07-18,94
2021-07-25,84
2021-08-01,82
2021-08-08,76
2021-08-15,85
2021-08-22,76
2021-08-29,86
2021-09-05,99
2021-09-12,91
2021-09-19,95
2021-09-26,93
2021-10-03,100
2021-10-10,90
2021-10-17,83
2021-10-24,75
2021-10-31,71
2021-11-07,82
2021-11-14,80
2021-11-21,86
2021-11-28,78
2021-12-05,70
2021-12-12,64
2021-12-19,74
2021-12-26,69
2022-01-02,41
2022-01-09,40
2022-01-16,37
2022-01-23,37
2022-01-30,47
2022-02-06,39
2022-02-13,32
2022-02-20,36
2022-02-27,31
2022-03-06,34
2022-03-13,31
2022-03-20,33
2022-03-27,33
2022-04-03,18
2022-04-10,21
2022-04-17,23
2022-04-24,33
2022-05-01,33
2022-05-08,24
2022-05-15,28
2022-05-22,32
2022-05-29,38
2022-06-05,39
2022-06-12,35
2022-06-19,40
2022-06-26,36
2022-07-03,41
2022-07-10,43
2022-07-17,39
2022-07-24,40
2022-07-31,42
2022-08-07,48
2022-08-14,43
2022-08-21,41
2022-08-28,42
2022-09-04,36
2022-09-11,37
2022-09-18,38
2022-09-25,38
2022-10-02,41
2022-10-09,39
2022-10-16,38
2022-10-23,37
2022-10-30,37
2022-11-06,39
2022-11-13,35
2022-11-20,40
2022-11-27,38
2022-12-04,39
2022-12-11,39
2022-12-18,40
2022-12-25,41
2023-01-01,35
2023-01-08,35
2023-01-15,37
2023-01-22,39
2023-01-29,36
2023-02-05,40
2023-02-12,23
2023-02-19,4
2023-02-26,4
2023-03-05,4
2023-03-12,4
2023-03-19,4
2023-03-26,4
2023-04-02,4
2023-04-09,4
2023-04-16,4
2023-04-23,4
2023-04-30,4
2023-05-07,4
2023-05-14,3
2023-05-21,4
2023-05-28,3
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,4
2023-07-02,4
2023-07-09,3
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,4
2023-08-13,3
2023-08-20,4
2023-08-27,4
2023-09-03,4
2023-09-10,4
2023-09-17,4
2023-09-24,4
2023-10-01,4
2023-10-08,4
2023-10-15,4
2023-10-22,5
2023-10-29,4
2023-11-05,4
2023-11-12,4
2023-11-19,5
2023-11-26,5
2023-12-03,4
2023-12-10,5
2023-12-17,5
2023-12-24,4
2023-12-31,4
