date,anti-aging cream
2020-12-27,82
2021-01-03,60
2021-01-10,79
2021-01-17,43
2021-01-24,74
2021-01-31,59
2021-02-07,57
2021-02-14,67
2021-02-21,68
2021-02-28,56
2021-03-07,55
2021-03-14,67
2021-03-21,64
2021-03-28,67
2021-04-04,73
2021-04-11,65
2021-04-18,69
2021-04-25,57
2021-05-02,49
2021-05-09,46
2021-05-16,56
2021-05-23,48
2021-05-30,53
2021-06-06,52
2021-06-13,46
2021-06-20,52
2021-06-27,46
2021-07-04,43
2021-07-11,44
2021-07-18,59
2021-07-25,53
2021-08-01,55
2021-08-08,38
2021-08-15,50
2021-08-22,61
2021-08-29,61
2021-09-05,61
2021-09-12,64
2021-09-19,46
2021-09-26,45
2021-10-03,46
2021-10-10,38
2021-10-17,55
2021-10-24,38
2021-10-31,41
2021-11-07,49
2021-11-14,54
2021-11-21,70
2021-11-28,48
2021-12-05,49
2021-12-12,47
2021-12-19,49
2021-12-26,46
2022-01-02,57
2022-01-09,54
2022-01-16,66
2022-01-23,80
2022-01-30,66
2022-02-06,66
2022-02-13,72
2022-02-20,82
2022-02-27,89
2022-03-06,78
2022-03-13,52
2022-03-20,89
2022-03-27,82
2022-04-03,71
2022-04-10,100
2022-04-17,73
2022-04-24,81
2022-05-01,90
2022-05-08,67
2022-05-15,83
2022-05-22,92
2022-05-29,89
2022-06-05,96
2022-06-12,76
2022-06-19,73
2022-06-26,60
2022-07-03,66
2022-07-10,71
2022-07-17,56
2022-07-24,68
2022-07-31,60
2022-08-07,60
2022-08-14,69
2022-08-21,64
2022-08-28,80
2022-09-04,80
2022-09-11,66
2022-09-18,61
2022-09-25,54
2022-10-02,70
2022-10-09,75
2022-10-16,53
2022-10-23,73
2022-10-30,68
2022-11-06,85
2022-11-13,76
2022-11-20,67
2022-11-27,70
2022-12-04,59
2022-12-11,78
2022-12-18,64
2022-12-25,69
2023-01-01,64
2023-01-08,70
2023-01-15,66
2023-01-22,81
2023-01-29,68
2023-02-05,89
2023-02-12,74
2023-02-19,91
2023-02-26,79
2023-03-05,82
2023-03-12,66
2023-03-19,52
2023-03-26,76
2023-04-02,80
2023-04-09,66
2023-04-16,76
2023-04-23,68
2023-04-30,66
2023-05-07,75
2023-05-14,62
2023-05-21,53
2023-05-28,62
2023-06-04,64
2023-06-11,43
2023-06-18,43
2023-06-25,48
2023-07-02,56
2023-07-09,42
2023-07-16,57
2023-07-23,74
2023-07-30,52
2023-08-06,49
2023-08-13,50
2023-08-20,44
2023-08-27,48
2023-09-03,56
2023-09-10,58
2023-09-17,50
2023-09-24,46
2023-10-01,41
2023-10-08,55
2023-10-15,53
2023-10-22,44
2023-10-29,57
2023-11-05,53
2023-11-12,48
2023-11-19,76
2023-11-26,70
2023-12-03,57
2023-12-10,48
2023-12-17,46
2023-12-24,72
2023-12-31,66
