date,makeup remover
2020-12-27,92
2021-01-03,81
2021-01-10,75
2021-01-17,77
2021-01-24,76
2021-01-31,73
2021-02-07,78
2021-02-14,73
2021-02-21,75
2021-02-28,77
2021-03-07,77
2021-03-14,71
2021-03-21,77
2021-03-28,77
2021-04-04,80
2021-04-11,80
2021-04-18,76
2021-04-25,75
2021-05-02,84
2021-05-09,75
2021-05-16,76
2021-05-23,81
2021-05-30,85
2021-06-06,67
2021-06-13,76
2021-06-20,69
2021-06-27,78
2021-07-04,78
2021-07-11,79
2021-07-18,72
2021-07-25,85
2021-08-01,83
2021-08-08,80
2021-08-15,84
2021-08-22,82
2021-08-29,79
2021-09-05,81
2021-09-12,83
2021-09-19,86
2021-09-26,91
2021-10-03,88
2021-10-10,83
2021-10-17,82
2021-10-24,82
2021-10-31,92
2021-11-07,94
2021-11-14,84
2021-11-21,99
2021-11-28,100
2021-12-05,84
2021-12-12,80
2021-12-19,91
2021-12-26,94
2022-01-02,74
2022-01-09,74
2022-01-16,74
2022-01-23,77
2022-01-30,80
2022-02-06,78
2022-02-13,78
2022-02-20,82
2022-02-27,79
2022-03-06,77
2022-03-13,80
2022-03-20,78
2022-03-27,77
2022-04-03,77
2022-04-10,73
2022-04-17,74
2022-04-24,75
2022-05-01,71
2022-05-08,72
2022-05-15,72
2022-05-22,68
2022-05-29,71
2022-06-05,77
2022-06-12,71
2022-06-19,73
2022-06-26,70
2022-07-03,70
2022-07-10,76
2022-07-17,76
2022-07-24,74
2022-07-31,79
2022-08-07,78
2022-08-14,72
2022-08-21,80
2022-08-28,75
2022-09-04,72
2022-09-11,69
2022-09-18,73
2022-09-25,70
2022-10-02,74
2022-10-09,76
2022-10-16,68
2022-10-23,78
2022-10-30,83
2022-11-06,73
2022-11-13,72
2022-11-20,96
2022-11-27,79
2022-12-04,77
2022-12-11,82
2022-12-18,87
2022-12-25,93
2023-01-01,85
2023-01-08,84
2023-01-15,81
2023-01-22,81
2023-01-29,83
2023-02-05,86
2023-02-12,78
2023-02-19,83
2023-02-26,77
2023-03-05,76
2023-03-12,79
2023-03-19,75
2023-03-26,72
2023-04-02,77
2023-04-09,75
2023-04-16,75
2023-04-23,72
2023-04-30,71
2023-05-07,70
2023-05-14,74
2023-05-21,74
2023-05-28,74
2023-06-04,70
2023-06-11,71
2023-06-18,75
2023-06-25,74
2023-07-02,71
2023-07-09,74
2023-07-16,76
2023-07-23,66
2023-07-30,75
2023-08-06,68
2023-08-13,77
2023-08-20,76
2023-08-27,68
2023-09-03,70
2023-09-10,68
2023-09-17,62
2023-09-24,70
2023-10-01,61
2023-10-08,71
2023-10-15,71
2023-10-22,73
2023-10-29,84
2023-11-05,73
2023-11-12,74
2023-11-19,87
2023-11-26,78
2023-12-03,78
2023-12-10,79
2023-12-17,77
2023-12-24,94
2023-12-31,79
