date,bb cream
2020-12-27,69
2021-01-03,67
2021-01-10,68
2021-01-17,65
2021-01-24,64
2021-01-31,65
2021-02-07,61
2021-02-14,59
2021-02-21,63
2021-02-28,64
2021-03-07,64
2021-03-14,56
2021-03-21,69
2021-03-28,66
2021-04-04,72
2021-04-11,67
2021-04-18,67
2021-04-25,68
2021-05-02,67
2021-05-09,62
2021-05-16,66
2021-05-23,69
2021-05-30,67
2021-06-06,70
2021-06-13,69
2021-06-20,69
2021-06-27,67
2021-07-04,62
2021-07-11,71
2021-07-18,74
2021-07-25,87
2021-08-01,74
2021-08-08,78
2021-08-15,73
2021-08-22,65
2021-08-29,60
2021-09-05,64
2021-09-12,64
2021-09-19,57
2021-09-26,80
2021-10-03,84
2021-10-10,92
2021-10-17,88
2021-10-24,76
2021-10-31,64
2021-11-07,72
2021-11-14,67
2021-11-21,71
2021-11-28,69
2021-12-05,52
2021-12-12,52
2021-12-19,53
2021-12-26,63
2022-01-02,57
2022-01-09,57
2022-01-16,57
2022-01-23,63
2022-01-30,62
2022-02-06,71
2022-02-13,59
2022-02-20,77
2022-02-27,83
2022-03-06,77
2022-03-13,77
2022-03-20,82
2022-03-27,71
2022-04-03,72
2022-04-10,76
2022-04-17,75
2022-04-24,77
2022-05-01,75
2022-05-08,77
2022-05-15,81
2022-05-22,82
2022-05-29,75
2022-06-05,73
2022-06-12,72
2022-06-19,67
2022-06-26,64
2022-07-03,64
2022-07-10,67
2022-07-17,79
2022-07-24,67
2022-07-31,64
2022-08-07,63
2022-08-14,61
2022-08-21,60
2022-08-28,57
2022-09-04,61
2022-09-11,65
2022-09-18,57
2022-09-25,53
2022-10-02,62
2022-10-09,61
2022-10-16,55
2022-10-23,53
2022-10-30,55
2022-11-06,53
2022-11-13,52
2022-11-20,62
2022-11-27,55
2022-12-04,50
2022-12-11,49
2022-12-18,56
2022-12-25,63
2023-01-01,64
2023-01-08,56
2023-01-15,62
2023-01-22,61
2023-01-29,63
2023-02-05,62
2023-02-12,57
2023-02-19,63
2023-02-26,65
2023-03-05,63
2023-03-12,66
2023-03-19,61
2023-03-26,58
2023-04-02,63
2023-04-09,61
2023-04-16,66
2023-04-23,66
2023-04-30,68
2023-05-07,62
2023-05-14,59
2023-05-21,62
2023-05-28,62
2023-06-04,59
2023-06-11,53
2023-06-18,100
2023-06-25,71
2023-07-02,62
2023-07-09,60
2023-07-16,54
2023-07-23,60
2023-07-30,52
2023-08-06,46
2023-08-13,53
2023-08-20,46
2023-08-27,44
2023-09-03,46
2023-09-10,45
2023-09-17,46
2023-09-24,44
2023-10-01,41
2023-10-08,46
2023-10-15,50
2023-10-22,44
2023-10-29,50
2023-11-05,51
2023-11-12,43
2023-11-19,54
2023-11-26,51
2023-12-03,48
2023-12-10,44
2023-12-17,45
2023-12-24,53
2023-12-31,55
