date,fond de teint
2020-12-27,74
2021-01-03,70
2021-01-10,66
2021-01-17,71
2021-01-24,68
2021-01-31,68
2021-02-07,82
2021-02-14,88
2021-02-21,82
2021-02-28,79
2021-03-07,73
2021-03-14,75
2021-03-21,74
2021-03-28,61
2021-04-04,72
2021-04-11,66
2021-04-18,66
2021-04-25,61
2021-05-02,58
2021-05-09,55
2021-05-16,57
2021-05-23,61
2021-05-30,52
2021-06-06,53
2021-06-13,42
2021-06-20,46
2021-06-27,53
2021-07-04,53
2021-07-11,48
2021-07-18,44
2021-07-25,43
2021-08-01,48
2021-08-08,44
2021-08-15,42
2021-08-22,46
2021-08-29,49
2021-09-05,51
2021-09-12,51
2021-09-19,51
2021-09-26,65
2021-10-03,61
2021-10-10,56
2021-10-17,59
2021-10-24,64
2021-10-31,70
2021-11-07,88
2021-11-14,70
2021-11-21,62
2021-11-28,63
2021-12-05,62
2021-12-12,63
2021-12-19,72
2021-12-26,83
2022-01-02,67
2022-01-09,76
2022-01-16,65
2022-01-23,68
2022-01-30,79
2022-02-06,81
2022-02-13,83
2022-02-20,81
2022-02-27,87
2022-03-06,91
2022-03-13,87
2022-03-20,83
2022-03-27,82
2022-04-03,78
2022-04-10,66
2022-04-17,73
2022-04-24,72
2022-05-01,75
2022-05-08,66
2022-05-15,52
2022-05-22,51
2022-05-29,54
2022-06-05,55
2022-06-12,45
2022-06-19,48
2022-06-26,54
2022-07-03,46
2022-07-10,39
2022-07-17,38
2022-07-24,41
2022-07-31,39
2022-08-07,38
2022-08-14,40
2022-08-21,49
2022-08-28,49
2022-09-04,48
2022-09-11,51
2022-09-18,54
2022-09-25,60
2022-10-02,64
2022-10-09,61
2022-10-16,64
2022-10-23,71
2022-10-30,75
2022-11-06,72
2022-11-13,72
2022-11-20,69
2022-11-27,71
2022-12-04,70
2022-12-11,68
2022-12-18,75
2022-12-25,89
2023-01-01,81
2023-01-08,82
2023-01-15,75
2023-01-22,80
2023-01-29,88
2023-02-05,87
2023-02-12,95
2023-02-19,95
2023-02-26,100
2023-03-05,92
2023-03-12,85
2023-03-19,90
2023-03-26,88
2023-04-02,80
2023-04-09,78
2023-04-16,82
2023-04-23,86
2023-04-30,86
2023-05-07,81
2023-05-14,81
2023-05-21,71
2023-05-28,67
2023-06-04,57
2023-06-11,58
2023-06-18,50
2023-06-25,51
2023-07-02,58
2023-07-09,45
2023-07-16,49
2023-07-23,47
2023-07-30,58
2023-08-06,52
2023-08-13,48
2023-08-20,49
2023-08-27,57
2023-09-03,51
2023-09-10,49
2023-09-17,51
2023-09-24,54
2023-10-01,56
2023-10-08,61
2023-10-15,63
2023-10-22,75
2023-10-29,82
2023-11-05,79
2023-11-12,76
2023-11-19,75
2023-11-26,72
2023-12-03,68
2023-12-10,76
2023-12-17,68
2023-12-24,92
2023-12-31,90
