date,eyeshadow palette
2020-12-27,33
2021-01-03,27
2021-01-10,25
2021-01-17,24
2021-01-24,23
2021-01-31,24
2021-02-07,23
2021-02-14,23
2021-02-21,21
2021-02-28,20
2021-03-07,20
2021-03-14,22
2021-03-21,22
2021-03-28,20
2021-04-04,21
2021-04-11,23
2021-04-18,21
2021-04-25,19
2021-05-02,20
2021-05-09,20
2021-05-16,18
2021-05-23,19
2021-05-30,19
2021-06-06,56
2021-06-13,79
2021-06-20,84
2021-06-27,90
2021-07-04,86
2021-07-11,82
2021-07-18,100
2021-07-25,78
2021-08-01,79
2021-08-08,80
2021-08-15,83
2021-08-22,75
2021-08-29,89
2021-09-05,92
2021-09-12,84
2021-09-19,82
2021-09-26,87
2021-10-03,94
2021-10-10,88
2021-10-17,76
2021-10-24,72
2021-10-31,71
2021-11-07,83
2021-11-14,80
2021-11-21,93
2021-11-28,89
2021-12-05,75
2021-12-12,70
2021-12-19,79
2021-12-26,80
2022-01-02,59
2022-01-09,57
2022-01-16,53
2022-01-23,52
2022-01-30,55
2022-02-06,56
2022-02-13,55
2022-02-20,54
2022-02-27,46
2022-03-06,48
2022-03-13,47
2022-03-20,45
2022-03-27,43
2022-04-03,35
2022-04-10,42
2022-04-17,39
2022-04-24,44
2022-05-01,45
2022-05-08,39
2022-05-15,40
2022-05-22,46
2022-05-29,45
2022-06-05,50
2022-06-12,48
2022-06-19,55
2022-06-26,47
2022-07-03,50
2022-07-10,51
2022-07-17,51
2022-07-24,50
2022-07-31,47
2022-08-07,65
2022-08-14,58
2022-08-21,49
2022-08-28,54
2022-09-04,53
2022-09-11,47
2022-09-18,49
2022-09-25,48
2022-10-02,50
2022-10-09,48
2022-10-16,47
2022-10-23,48
2022-10-30,50
2022-11-06,50
2022-11-13,48
2022-11-20,59
2022-11-27,57
2022-12-04,53
2022-12-11,56
2022-12-18,57
2022-12-25,61
2023-01-01,51
2023-01-08,48
2023-01-15,58
2023-01-22,48
2023-01-29,51
2023-02-05,47
2023-02-12,37
2023-02-19,19
2023-02-26,19
2023-03-05,19
2023-03-12,18
2023-03-19,17
2023-03-26,17
2023-04-02,16
2023-04-09,16
2023-04-16,17
2023-04-23,17
2023-04-30,18
2023-05-07,17
2023-05-14,15
2023-05-21,17
2023-05-28,15
2023-06-04,16
2023-06-11,16
2023-06-18,16
2023-06-25,16
2023-07-02,17
2023-07-09,16
2023-07-16,15
2023-07-23,16
2023-07-30,14
2023-08-06,15
2023-08-13,15
2023-08-20,16
2023-08-27,16
2023-09-03,16
2023-09-10,16
2023-09-17,16
2023-09-24,16
2023-10-01,18
2023-10-08,19
2023-10-15,19
2023-10-22,19
2023-10-29,19
2023-11-05,19
2023-11-12,22
2023-11-19,28
2023-11-26,24
2023-12-03,23
2023-12-10,24
2023-12-17,26
2023-12-24,25
2023-12-31,21
